T,L,R
78.3,79.55,9999
68.3,74.3,78.3
78.3,78.3,79.55
68.3,78.3,9999
72.3,73.55,9999
78.3,88.3,9999
65.3,66.55,71.3
72.3,82.3,9999
78.3,79.55,9999
68.3,78.3,9999
72.3,82.3,9999
78.3,88.3,9999
68.3,78.3,9999
72.3,82.3,9999
78.3,79.55,9999
72.3,73.55,78.3
78.3,79.55,84.3
65.3,75.3,9999
72.3,78.3,9999
72.3,73.55,78.3
78.3,79.55,9999
65.3,75.3,9999
65.3,75.3,9999
73.3,83.3,9999
65.3,75.3,9999
73.3,74.55,79.3
65.3,75.3,9999
73.3,83.3,9999
69.3,79.3,9999
73.3,74.55,9999
78.3,84.3,88.3
65.3,75.3,9999
73.3,74.55,83.3
78.3,78.3,79.55
69.3,70.55,75.3
78.3,79.55,84.3
69.3,75.3,9999
73.3,83.3,9999
78.3,84.3,88.3
69.3,75.3,79.3
73.3,79.3,83.3
78.3,79.55,84.3
65.3,75.3,9999
73.3,79.3,83.3
78.9,78.9,80.15
65.3,71.3,75.3
69.3,79.3,9999
73.3,79.3,83.3
69.3,79.3,9999
79.3,85.3,89.3
65.3,75.3,9999
65.3,75.3,9999
69.3,79.3,9999
65.3,75.3,9999
65.3,66.55,9999
79.3,80.55,85.3
65.3,75.3,9999
69.3,79.3,9999
73.3,83.3,9999
79.3,85.3,89.3
65.3,71.3,75.3
73.3,79.3,83.3
65.3,66.55,71.3
73.3,74.55,9999
69.3,70.55,9999
65.3,75.3,9999
69.3,75.3,79.3
73.3,83.3,9999
65.3,65.3,66.55
69.3,75.3,79.3
73.3,74.55,79.3
79.3,89.3,9999
65.3,71.3,75.3
79.3,80.55,9999
79.3,85.3,89.3
65.3,66.55,9999
69.3,79.3,9999
65.3,71.3,75.3
69.3,70.55,75.3
79.3,80.55,85.3
65.3,75.3,9999
73.3,83.3,9999
79.3,85.3,89.3
69.3,79.3,9999
73.3,83.3,9999
65.3,66.55,71.3
69.3,70.55,9999
73.3,83.3,9999
65.3,75.3,9999
69.3,70.55,75.3
73.3,83.3,9999
69.3,79.3,9999
69.3,70.55,75.3
73.3,83.3,9999
79.3,80.55,85.3
69.3,75.3,79.3
73.3,83.3,9999
66.3,67.55,9999
69.3,79.3,9999
66.3,67.55,72.3
69.3,79.3,9999
66.3,76.3,9999
80.3,86.3,90.3
66.3,72.3,76.3
69.3,75.3,79.3
73.3,74.55,9999
66.3,76.3,9999
69.3,79.3,9999
73.3,79.3,83.3
66.3,76.3,9999
69.3,79.3,9999
80.3,90.3,9999
73.3,83.3,9999
66.3,67.55,72.3
66.3,72.3,76.3
69.3,70.55,75.3
73.3,74.55,79.3
80.3,86.3,90.3
66.3,67.55,9999
69.3,79.3,9999
73.3,73.3,74.55
80.3,81.55,90.3
73.9,73.9,75.15
80.3,90.3,9999
66.3,76.3,9999
73.9,73.9,75.15
80.3,86.3,90.3
66.3,76.3,9999
69.3,79.3,9999
80.3,86.3,90.3
66.3,72.3,9999
80.3,81.55,86.3
69.3,75.3,79.3
80.3,81.55,86.3
69.3,75.3,79.3
74.3,75.55,9999
69.3,75.3,79.3
74.3,84.3,9999
80.3,86.3,90.3
69.3,79.3,9999
74.3,75.55,80.3
80.9,80.9,82.15
66.3,76.3,9999
74.3,75.55,9999
81.3,81.3,82.55
66.3,72.3,9999
69.3,70.55,79.3
74.3,84.3,9999
66.3,67.55,72.3
74.3,80.3,84.3
66.3,76.3,9999
81.3,87.3,91.3
69.3,69.3,70.55
74.3,84.3,9999
81.3,91.3,9999
66.3,76.3,9999
69.3,79.3,9999
74.3,75.55,80.3
81.3,87.3,91.3
66.3,76.3,9999
69.3,79.3,9999
66.3,76.3,9999
69.3,79.3,9999
66.3,72.3,76.3
74.3,84.3,9999
81.3,82.55,87.3
74.3,75.55,80.3
81.3,82.55,87.3
69.3,79.3,9999
74.3,84.3,9999
69.3,75.3,79.3
74.3,74.3,75.55
69.3,70.55,75.3
74.3,84.3,9999
81.3,82.55,87.3
69.3,70.55,75.3
81.3,87.3,91.3
66.3,76.3,9999
69.3,69.3,70.55
81.3,81.3,82.55
66.3,76.3,9999
69.3,75.3,79.3
74.3,84.3,9999
66.3,76.3,9999
69.3,79.3,9999
66.3,67.55,9999
69.3,79.3,9999
66.3,67.55,72.3
74.3,80.3,84.3
81.3,91.3,9999
74.3,75.55,9999
70.3,76.3,80.3
74.3,80.3,84.3
81.3,81.3,82.55
70.3,76.3,80.3
74.3,84.3,9999
70.3,76.3,80.3
66.3,72.3,9999
70.3,80.3,9999
66.3,76.3,9999
70.3,76.3,80.3
74.3,75.55,80.3
81.9,81.9,83.15
66.3,72.3,76.3
74.3,84.3,9999
82.3,83.55,88.3
66.3,76.3,9999
74.3,80.3,84.3
74.3,75.55,9999
82.3,83.55,88.3
70.3,80.3,9999
74.3,84.3,9999
82.3,88.3,92.3
66.3,72.3,76.3
70.3,80.3,9999
66.3,76.3,9999
82.3,83.55,88.3
70.3,71.55,9999
70.3,80.3,9999
75.3,76.55,81.3
82.3,83.55,88.3
66.3,76.3,9999
70.3,71.55,9999
75.3,76.55,81.3
70.3,71.55,80.3
75.3,76.55,81.3
66.3,67.55,9999
70.3,80.3,9999
75.3,85.3,9999
70.3,71.55,76.3
75.3,85.3,9999
75.3,81.3,85.3
66.3,76.3,9999
70.3,80.3,9999
66.3,76.3,9999
82.3,82.3,83.55
75.3,76.55,9999
82.3,83.55,88.3
75.3,85.3,9999
70.3,80.3,9999
66.3,72.3,76.3
75.3,81.3,85.3
82.9,82.9,84.15
66.3,67.55,9999
70.3,76.3,80.3
75.3,85.3,9999
83.3,84.55,89.3
66.3,67.55,9999
83.3,84.55,9999
66.3,76.3,9999
70.3,80.3,9999
75.3,81.3,85.3
83.3,93.3,9999
75.3,81.3,9999
83.3,84.55,89.3
66.3,76.3,9999
70.3,80.3,9999
75.3,76.55,9999
83.3,84.55,89.3
66.3,76.3,9999
70.3,76.3,80.3
83.3,89.3,93.3
66.3,76.3,9999
70.3,71.55,76.3
75.3,81.3,85.3
70.3,80.3,9999
70.3,76.3,80.3
75.3,85.3,9999
83.3,84.55,89.3
66.3,76.3,9999
70.3,80.3,9999
83.3,84.55,89.3
75.3,85.3,9999
66.3,76.3,9999
75.3,76.55,81.3
70.3,71.55,76.3
75.3,85.3,9999
83.3,89.3,93.3
66.3,67.55,76.3
70.3,76.3,80.3
83.3,89.3,93.3
66.3,76.3,9999
75.3,76.55,9999
83.3,83.3,84.55
83.3,84.55,89.3
70.3,71.55,9999
83.3,84.55,89.3
83.3,84.55,9999
67.3,77.3,9999
67.3,73.3,77.3
83.3,83.3,84.55
70.3,71.55,76.3
83.3,89.3,93.3
67.3,73.3,77.3
70.3,71.55,9999
75.3,81.3,85.3
83.3,84.55,89.3
67.3,73.3,9999
70.3,71.55,9999
75.3,76.55,81.3
83.3,84.55,89.3
70.3,76.3,80.3
67.3,68.55,77.3
70.3,76.3,80.3
83.3,84.55,89.3
67.3,73.3,77.3
75.3,85.3,9999
83.9,83.9,85.15
67.3,68.55,9999
83.9,83.9,85.15
75.3,76.55,9999
70.3,80.3,9999
75.3,85.3,9999
70.3,71.55,80.3
75.3,76.55,81.3
84.3,84.3,85.55
75.3,81.3,9999
84.3,90.3,94.3
75.3,76.55,81.3
70.3,80.3,9999
67.3,68.55,77.3
84.3,85.55,90.3
67.3,68.55,9999
67.3,77.3,9999
75.3,76.55,81.3
84.3,85.55,90.3
67.3,77.3,9999
70.9,70.9,72.15
75.3,81.3,85.3
84.3,85.55,90.3
70.9,70.9,72.15
84.3,94.3,9999
67.3,77.3,9999
75.3,76.55,81.3
71.3,72.55,9999
75.3,85.3,9999
84.3,90.3,94.3
67.3,73.3,77.3
75.3,81.3,85.3
84.3,84.3,85.55
67.3,68.55,73.3
71.3,81.3,9999
84.3,85.55,90.3
67.3,77.3,9999
71.3,81.3,9999
76.3,86.3,9999
71.3,77.3,81.3
76.3,77.55,9999
71.3,71.3,72.55
76.3,82.3,86.3
67.3,73.3,77.3
71.3,77.3,81.3
84.3,85.55,90.3
67.3,77.3,9999
71.3,72.55,9999
67.3,73.3,77.3
71.3,81.3,9999
67.3,77.3,9999
76.3,77.55,82.3
71.3,81.3,9999
76.3,82.3,86.3
71.3,72.55,9999
76.3,77.55,82.3
84.3,85.55,90.3
71.3,81.3,9999
84.3,90.3,94.3
67.3,73.3,77.3
71.3,81.3,9999
76.3,77.55,82.3
84.9,84.9,86.15
67.3,68.55,73.3
76.3,77.55,82.3
71.3,81.3,9999
76.3,82.3,86.3
67.3,77.3,9999
67.3,73.3,77.3
71.3,72.55,77.3
76.3,77.55,82.3
85.3,91.3,95.3
67.3,77.3,9999
67.3,77.3,9999
76.3,86.3,9999
85.3,86.55,91.3
71.3,72.55,9999
76.3,86.3,9999
76.3,77.55,82.3
85.3,85.3,86.55
71.3,72.55,77.3
71.3,81.3,9999
76.3,86.3,9999
67.3,68.55,73.3
71.3,77.3,81.3
76.3,82.3,86.3
67.3,77.3,9999
85.3,85.3,86.55
67.3,77.3,9999
85.9,85.9,87.15
67.3,73.3,77.3
76.3,82.3,86.3
86.3,87.55,92.3
71.3,72.55,9999
76.3,82.3,9999
67.3,77.3,9999
71.3,72.55,77.3
76.3,77.55,82.3
86.3,86.3,87.55
67.3,73.3,77.3
76.3,77.55,82.3
67.3,73.3,77.3
67.3,73.3,77.3
86.3,87.55,92.3
67.3,77.3,9999
71.3,72.55,77.3
86.3,87.55,92.3
71.3,77.3,9999
86.3,86.3,87.55
67.3,73.3,77.3
76.3,82.3,86.3
86.3,92.3,96.3
76.3,77.55,82.3
86.3,87.55,92.3
67.3,68.55,9999
71.3,72.55,9999
76.3,86.3,9999
86.3,87.55,92.3
71.3,72.55,77.3
76.3,76.3,77.55
71.3,72.55,9999
86.9,86.9,88.15
86.9,86.9,88.15
67.3,77.3,9999
87.3,88.55,93.3
67.3,68.55,9999
71.3,72.55,77.3
76.3,82.3,86.3
87.3,88.55,9999
76.3,82.3,86.3
67.3,73.3,77.3
87.3,87.3,88.55
67.3,68.55,73.3
71.3,81.3,9999
76.3,77.55,82.3
67.3,73.3,77.3
71.3,77.3,81.3
76.3,77.55,82.3
71.3,81.3,9999
71.3,81.3,9999
87.3,88.55,93.3
71.3,77.3,81.3
71.3,81.3,9999
87.9,87.9,89.15
76.9,76.9,78.15
88.3,94.3,98.3
67.3,73.3,77.3
88.3,94.3,98.3
67.3,73.3,9999
76.9,76.9,78.15
71.3,72.55,77.3
88.3,89.55,94.3
67.3,77.3,9999
71.3,81.3,9999
67.3,73.3,77.3
89.3,90.55,95.3
71.3,77.3,81.3
71.9,71.9,73.15
89.9,89.9,91.15
71.9,71.9,73.15
77.3,78.55,83.3
90.3,96.3,100.3
67.9,67.9,69.15
90.3,91.55,96.3
67.9,67.9,69.15
72.3,82.3,9999
77.3,83.3,87.3
77.3,78.55,83.3
90.9,90.9,92.15
72.3,73.55,78.3
90.9,90.9,92.15
77.3,78.55,83.3
68.3,78.3,9999
77.3,78.55,83.3
91.3,92.55,97.3
68.3,78.3,9999
77.3,78.55,83.3
72.3,78.3,82.3
77.3,87.3,9999
91.3,91.3,92.55
68.3,74.3,9999
77.3,83.3,87.3
91.3,91.3,92.55
68.3,69.55,74.3
72.3,78.3,82.3
72.3,82.3,9999
77.3,83.3,87.3
91.3,92.55,9999
68.3,74.3,78.3
77.3,83.3,87.3
93.3,94.55,99.3
68.3,74.3,78.3
72.3,73.55,78.3
95.9,95.9,97.15
68.3,78.3,9999
72.3,73.55,78.3
77.3,78.55,9999
72.3,73.55,78.3
77.3,83.3,87.3
97.3,98.55,103.3
68.3,78.3,9999
77.3,83.3,87.3
77.3,78.55,83.3
